sep=,
Table Name,Column Name,Data Type Column,Description,IsHidden,Sample Row 1 Value,Sample Row 2 Value,Sample Row 3 Value
d_Period,Fiscal Quarter Nr,Integer,,False,,,
d_Period,Fiscal Semester Nr,Integer,,False,,,
d_Period,Fiscal Year Month Nr,Integer,,False,,,
d_Period,Fiscal Year Month Seqnr,Integer,,False,,,
d_Period,Fiscal Year Quarter Nr,Integer,,False,,,
d_Period,Fiscal Year Semester Nr,Integer,,False,,,
d_Period,Date EOM,DateTime,,False,,,
d_Period,End Date,String,,False,,,
d_Period,Start Date,String,,False,,,
d_Period,Year Quarter Seqnr,Integer,,False,,,
d_Period,Year Semester Seqnr,String,,False,,,
d_Period,Month Year (MMMYY) (inversed sort),String,,False,,,
d_Period,Fiscal Year Quarter Seqnr,Integer,,False,,,
d_Period,PYYE YM Seqnr,String,,False,,,
d_Period,MonthInitialYear,String,,False,,,
s_Decimal2,Decimal,String,,False,,,
s_Decimal2,Nr,Integer,,False,,,
s_Decimalpct2,Decimal,String,,False,,,
s_Decimalpct2,Format,String,,False,,,
s_Decimalpct2,Nr,Integer,,False,,,
s_Scale2,Scale,String,,False,,,
s_Scale2,Nr,Integer,,False,,,
s_Scale2,Display,String,,False,,,
s_Format2,Line Format,String,,False,,,
s_Format2,Decimal Pct,Integer,,False,,,
s_Format2,Scale,Integer,,False,,,
s_Format2,Decimal,Integer,,False,,,
s_Format2,Format,String,,False,,,
d_Profit Center,PC code,String,,False,,,
d_Profit Center,PC Group,String,,False,,,
d_Profit Center,P&L Domain,String,,False,,,
d_Profit Center,PC Group Nr,Integer,,False,,,
d_Profit Center,System,String,,False,,,
f_FINREP,System,String,,False,,,
f_FINREP,GL Account ID,String,,False,,,
f_FINREP,Country ID,String,,False,,,
f_FINREP,Cost Center ID,String,,False,,,
f_FINREP,Posting Period Seqnr,Integer,,False,,,
f_FINREP,P&L Domain,String,,False,,,
f_FINREP,PC code,String,,False,,,
f_FINREP,#Company Code,Integer,,False,,,
f_FINREP,#AB Indicator ID,String,,False,,,
f_FINREP,Document No,String,,False,,,
f_FINREP,Relation ID,String,,False,,,
f_FINREP,GL Typology,String,,False,,,
f_FINREP,PC Typology,String,,False,,,
f_FINREP,Item,String,,False,,,
f_FINREP,Location Code,String,,False,,,
f_FINREP,Posting Date,DateTime,,False,,,
f_FINREP,Scenario ID,String,,False,,,
f_FINREP,Dim 1 key,String,,False,,,
f_FINREP,Dim 2 key,String,,False,,,
f_FINREP,Dim 3 key,String,,False,,,
f_FINREP,Dim 4 key,String,,False,,,
f_FINREP,Dim 5 key,String,,False,,,
f_FINREP,Dim 6 key,String,,False,,,
f_FINREP,Document Currency,String,,False,,,
f_FINREP,Company Code  Currency,String,,False,,,
f_FINREP,Cash Flow Amount,Double,,False,,,
f_FINREP,CF Line,Unknown,,False,,,
f_FINREP,Amount (company code currency),Double,,False,,,
f_FINREP,Amount (document currency),Double,,False,,,
f_FINREP,BS_PL Slot,String,,False,,,
f_FINREP,BS_PL Line,String,,False,,,
s_Period,Year Nr,Integer,,False,,,
s_Period,Month Nr,Integer,,False,,,
s_Period,End Date,DateTime,,False,,,
s_Period,Start Date,DateTime,,False,,,
s_Period,Quarter Nr,Integer,,False,,,
s_Period,Semester Nr,Integer,,False,,,
s_Period,Year Month Nr (inversed),Integer,,False,,,
s_Period,Year Month Seqnr,Integer,,False,,,
s_Period,Year Quarter Nr,Integer,,False,,,
s_Period,Year Quarter Seqnr,Integer,,False,,,
s_Period,Year Semester Nr,Integer,,False,,,
s_Period,Year Semester Seqnr,Integer,,False,,,
s_Period,Month (MMM),String,,False,,,
s_Period,Month Year (MMMYY),String,,False,,,
s_Period,Month Year (MMMYY) (inversed sort),String,,False,,,
s_Period,Quarter (QQ),String,,False,,,
s_Period,Quarter Year (QQ YY),String,,False,,,
s_Period,Semester (SS),String,,False,,,
s_Period,Semester Year (SS YY),String,,False,,,
s_Period,Year Month Nr,Integer,,False,,,
s_Period,Fiscal Year Nr,Integer,,False,,,
s_Period,Fiscal Month Nr,Integer,,False,,,
s_Period,Fiscal Quarter Nr,Integer,,False,,,
s_Period,Fiscal Semester Nr,Integer,,False,,,
s_Period,Fiscal Year Month Nr,Integer,,False,,,
s_Period,Fiscal Year Month Seqnr,Integer,,False,,,
s_Period,Fiscal Year Quarter Nr,Integer,,False,,,
s_Period,Fiscal Year Semester Nr,Integer,,False,,,
s_Period,PYYE YM Seqnr,Integer,,False,,,
s_Period,Full Month,String,,False,,,
s_Period,Month Initial,String,,False,,,
dfp_Report_BS_PL_Levels 1,dfp_Report_BS_PL_Levels MAN,String,,False,,,
dfp_Report_BS_PL_Levels 1,Level,String,,False,,,
d_System,System,String,,False,,,
d_Relation,Country Region,String,,False,,,
d_Relation,Relation Name,String,,False,,,
d_Relation,Relation Code,String,,False,,,
d_Relation,Relation Type,String,,False,,,
d_Relation,System,String,,False,,,
d_Relation,Relation ID,String,,False,,,
d_Relation,Relation Full,String,,False,,,
d_Scenario,Version,String,,False,,,
d_Scenario,VersionShort,String,,False,,,
d_Scenario,Year,Integer,,False,,,
d_Scenario,Version ID,String,,False,,,
d_Scenario,VersionYear,String,,False,,,
d_Scenario,Filter,String,,False,,,
d_Scenario,Exchange Rate Type,String,,False,,,
d_Scenario,Display Label,String,,False,,,
s_Scenario Comparable_Filter,Version,String,,False,,,
s_Scenario Comparable_Filter,VersionShort,String,,False,,,
s_Scenario Comparable_Filter,Filter,String,,False,,,
s_Scenario Comparable_Filter,Logic,String,,False,,,
s_Scenario Comparable_Filter,Exchange Rate Type,String,,False,,,
s_Scenario Comparable_Filter,Label Display,String,,False,,,
s_Scenario Comparable_Filter,YearOffset,Integer,,False,,,
s_Scenario Comparable_Filter,Display Name Long,String,,False,,,
s_Scenario Comparable_Filter,Display for concat title,String,,False,,,
c_Time Intelligence P&L,Name,String,,False,,,
c_Time Intelligence_LxM & Other,Name,String,,False,,,
s_Switch_Calendar_Fiscal,Selection,String,,False,,,
s_TimeCalc,Selection,String,,False,,,
s_TimeCalc,SortID,Integer,,False,,,
s_TimeCalc2,Selection,String,,False,,,
s_TimeCalc2,SortID,Integer,,False,,,
s_TimeCalc3,Selection,String,,False,,,
s_TimeCalc3,SortID,Integer,,False,,,
d_Currency_From,From currency,String,,False,,,
d_Currency_Report,Order,Integer,,False,,,
d_Currency_Report,To-currency,String,,False,,,
d_Currency_Rates,Exchange Rate,Double,,False,,,
d_Currency_Rates,Valid from,DateTime,,False,,,
d_Currency_Rates,To-currency,String,,False,,,
d_Currency_Rates,From currency,String,,False,,,
d_Currency_Rates,Exchange Rate Type,String,,False,,,
d_Currency_Rates,Currency sign,String,,False,,,
s_Scenario Comparable2_Filter,Version,String,,False,,,
s_Scenario Comparable2_Filter,VersionShort,String,,False,,,
s_Scenario Comparable2_Filter,Filter,String,,False,,,
s_Scenario Comparable2_Filter,Logic,String,,False,,,
s_Scenario Comparable2_Filter,Exchange Rate Type,String,,False,,,
s_Scenario Comparable2_Filter,Label Display,String,,False,,,
s_Scenario Comparable2_Filter,YearOffset,Integer,,False,,,
c_Monthly_vs_Cumulative,Name,String,,False,,,
Other_InfoColumns,ID,Integer,,False,,,
Other_InfoColumns,Name,String,,False,,,
Other_InfoColumns,Table,String,,False,,,
Other_InfoColumns,DataType,String,,False,,,
Other_InfoColumns,DataCategory,String,,False,,,
Other_InfoColumns,Description,String,,False,,,
Other_InfoColumns,IsHidden,Boolean,,False,,,
Other_InfoColumns,IsUnique,Boolean,,False,,,
Other_InfoColumns,IsKey,Boolean,,False,,,
Other_InfoColumns,IsNullable,Boolean,,False,,,
Other_InfoColumns,Alignment,String,,False,,,
Other_InfoColumns,SummarizeBy,String,,False,,,
Other_InfoColumns,ColumnStorage,String,,False,,,
Other_InfoColumns,Type,String,,False,,,
Other_InfoColumns,SourceColumn,String,,False,,,
Other_InfoColumns,Expression,String,,False,,,
Other_InfoColumns,FormatString,String,,False,,,
Other_InfoColumns,IsAvailableInMDX,Boolean,,False,,,
Other_InfoColumns,SortByColumn,String,,False,,,
Other_InfoColumns,GroupingBehavior,String,,False,,,
Other_InfoColumns,SourceProviderType,String,,False,,,
Other_InfoColumns,DisplayFolder,String,,False,,,
Other_InfoColumns,AlternateOf,String,,False,,,
Other_InfoColumns,LineageTag,String,,False,,,
Other_InfoMeasures,TableID,Integer,,False,,,
Other_InfoMeasures,TableName,String,,False,,,
Other_InfoMeasures,Table,String,,False,,,
Other_InfoMeasures,Desc,String,,False,,,
Other_InfoMeasures,Expression,String,,False,,,
Other_InfoMeasures,FormatString,String,,False,,,
Other_InfoMeasures,IsHidden,Boolean,,False,,,
Other_InfoMeasures,State,String,,False,,,
Other_InfoMeasures,KPIID,Integer,,False,,,
Other_InfoMeasures,IsSimpleMeasure,Boolean,,False,,,
Other_InfoMeasures,DisplayFolder,String,,False,,,
Other_InfoMeasures,DetailRowsDefinition,String,,False,,,
Other_InfoMeasures,DataCategory,String,,False,,,
Other_InfoMeasures,LineageTag,String,,False,,,
Other_InfoRelations,ID,Integer,,False,,,
Other_InfoRelations,Name,String,,False,,,
Other_InfoRelations,Relationship,String,,False,,,
Other_InfoRelations,Model,String,,False,,,
Other_InfoRelations,IsActive,Boolean,,False,,,
Other_InfoRelations,CrossFilteringBehavior,String,,False,,,
Other_InfoRelations,RelyOnReferentialIntegrity,Boolean,,False,,,
Other_InfoRelations,FromTable,String,,False,,,
Other_InfoRelations,FromColumn,String,,False,,,
Other_InfoRelations,FromCardinality,String,,False,,,
Other_InfoRelations,ToTable,String,,False,,,
Other_InfoRelations,ToColumn,String,,False,,,
Other_InfoRelations,ToCardinality,String,,False,,,
Other_InfoRelations,State,String,,False,,,
Other_InfoRelations,SecurityFilteringBehavior,String,,False,,,
Other_InfoTables,ID,Integer,,False,,,
Other_InfoTables,Name,String,,False,,,
Other_InfoTables,Model,String,,False,,,
Other_InfoTables,DataCategory,String,,False,,,
Other_InfoTables,Description,String,,False,,,
Other_InfoTables,IsHidden,Boolean,,False,,,
Other_InfoTables,StorageMode,String,,False,,,
Other_InfoTables,TableStorage,String,,False,,,
Other_InfoTables,Expression,String,,False,,,
Other_InfoTables,ShowAsVariationOnly,Boolean,,False,,,
Other_InfoTables,IsPrivate,Boolean,,False,,,
Other_InfoTables,CalculationGroupPrecedence,Integer,,False,,,
Other_InfoTables,LineageTag,String,,False,,,
s_PL_Components_Filter,Component,String,,False,,,
s_PL_Components_Filter,Order,Integer,,False,,,
sfp_Reported Amount,sfp_Reported Amount,String,,False,,,
sfp_Reported Amount,P&L Component,String,,False,,,
sfp_Reported Amount,Scenario,String,,False,,,
sfp_Reported Amount,Year,Integer,,False,,,
sfp_Constant Currency,sfp_Constant Currency,String,,False,,,
sfp_Constant Currency,P&L Component,String,,False,,,
sfp_Constant Currency,Scenario,String,,False,,,
sfp_Constant Currency,Year,Integer,,False,,,
sfp_Comparable Amount,sfp_Comparable Amount,String,,False,,,
sfp_Comparable Amount,P&L Component,String,,False,,,
sfp_Comparable Amount,Scenario,String,,False,,,
sfp_Comparable Amount,Year,Integer,,False,,,
sfp_Variance+FX,sfp_Variance+FX,String,,False,,,
sfp_Variance+FX,Currency Type,String,,False,,,
sfp_Variance+FX,Value5,String,,False,,,
sfp_Variance+FX,Component,String,,False,,,
s_Report Currency_Version,Type,String,,False,,,
s_Report Currency_Version,Order,Integer,,False,,,
s_Report Currency_Version,Abbreviation,String,,False,,,
d_DimensionMapping,Dimension Table,String,,False,,,
d_DimensionMapping,Dimension Name,String,,False,,,
d_DimensionMapping,Column ID,String,,False,,,
d_DimensionMapping,Report Name,String,,False,,,
d_DimensionMapping,TableName,String,,False,,,
d_DimensionMapping,TableColumnReference,String,,False,,,
d_DimensionMapping,UniqueFieldID,String,,False,,,
d_DimensionMapping,SlicerKey,Integer,,False,,,
d_DimensionMapping,Group | Dimension,String,,False,,,
d_Dimension 1,Column 1,String,,False,,,
d_Dimension 1,Column 2,String,,False,,,
d_Dimension 1,Column 3,String,,False,,,
d_Dimension 1,Column 4,String,,False,,,
d_Dimension 1,Column 5,String,,False,,,
d_Dimension 1,Column 6,String,,False,,,
d_Dimension 1,Column 7,String,,False,,,
d_Dimension 1,Column 8,String,,False,,,
d_Dimension 1,SlicerKey,String,,False,,,
d_Dimension 2,Column 1,String,,False,,,
d_Dimension 2,Column 2,String,,False,,,
d_Dimension 2,Column 3,String,,False,,,
d_Dimension 2,Column 4,String,,False,,,
d_Dimension 2,Column 5,String,,False,,,
d_Dimension 2,Column 6,String,,False,,,
d_Dimension 2,Column 7,String,,False,,,
d_Dimension 2,Column 8,String,,False,,,
d_Dimension 2,SlicerKey,String,,False,,,
d_Dimension 3,Column 1,String,,False,,,
d_Dimension 3,Column 2,String,,False,,,
d_Dimension 3,Column 3,String,,False,,,
d_Dimension 3,Column 4,String,,False,,,
d_Dimension 3,Column 5,String,,False,,,
d_Dimension 3,Column 6,String,,False,,,
d_Dimension 3,Column 7,String,,False,,,
d_Dimension 3,Column 8,String,,False,,,
d_Dimension 3,SlicerKey,String,,False,,,
d_Dimension 4,Column 1,String,,False,,,
d_Dimension 4,Column 2,String,,False,,,
d_Dimension 4,Column 3,String,,False,,,
d_Dimension 4,Column 4,String,,False,,,
d_Dimension 4,Column 5,String,,False,,,
d_Dimension 4,Column 6,String,,False,,,
d_Dimension 4,Column 7,String,,False,,,
d_Dimension 4,Column 8,String,,False,,,
d_Dimension 4,SlicerKey,String,,False,,,
d_Dimension 5,Column 1,String,,False,,,
d_Dimension 5,Column 2,String,,False,,,
d_Dimension 5,Column 3,String,,False,,,
d_Dimension 5,Column 4,String,,False,,,
d_Dimension 5,Column 5,String,,False,,,
d_Dimension 5,Column 6,String,,False,,,
d_Dimension 5,Column 7,String,,False,,,
d_Dimension 5,Column 8,String,,False,,,
d_Dimension 5,SlicerKey,String,,False,,,
d_Dimension 6,Column 1,String,,False,,,
d_Dimension 6,Column 2,String,,False,,,
d_Dimension 6,Column 3,String,,False,,,
d_Dimension 6,Column 4,String,,False,,,
d_Dimension 6,Column 5,String,,False,,,
d_Dimension 6,Column 6,String,,False,,,
d_Dimension 6,Column 7,String,,False,,,
d_Dimension 6,Column 8,String,,False,,,
d_Dimension 6,SlicerKey,String,,False,,,
sfp_Filter_Dimensions (Customer Based),Parameter,String,,False,,,
sfp_Filter_Dimensions (Customer Based),SlicerKey,Integer,,False,,,
sfp_Filter_Dimensions (Customer Based),DisplayTable,String,,False,,,
sfp_Filter_Dimensions (Customer Based),Group | Dimension,String,,False,,,
s_Currency_Doc vs Company,Type,String,,False,,,
s_Currency_Doc vs Company,Order,Integer,,False,,,
s_Currency_Doc vs Company,Abbreviation,String,,False,,,
s_Growth_Scenario,Growth Scenario,String,,False,,,
s_Growth_Scenario,Explanation,String,,False,,,
s_Growth_Scenario,Sort,Integer,,False,,,
sfp_Comparable Amount 2,sfp_Comparable Amount,String,,False,,,
sfp_Comparable Amount 2,P&L Component,String,,False,,,
sfp_Comparable Amount 2,Scenario,String,,False,,,
sfp_Comparable Amount 2,Year,Integer,,False,,,
sfp_Constant Currency 2,sfp_Constant Currency,String,,False,,,
sfp_Constant Currency 2,P&L Component,String,,False,,,
sfp_Constant Currency 2,Scenario,String,,False,,,
sfp_Constant Currency 2,Year,Integer,,False,,,
sfp_TC1_Variance+FX,sfp_Variance+FX,String,,False,,,
sfp_TC1_Variance+FX,Currency Type,String,,False,,,
sfp_TC1_Variance+FX,Value5,String,,False,,,
sfp_TC1_Variance+FX,Component,String,,False,,,
sfp_Comparable YTD,sfp_Comparable Amount,String,,False,,,
sfp_Comparable YTD,P&L Component,String,,False,,,
sfp_Comparable YTD,Scenario,String,,False,,,
sfp_Comparable YTD,Year,Integer,,False,,,
sfp_Comparable FY,sfp_Comparable Amount,String,,False,,,
sfp_Comparable FY,P&L Component,String,,False,,,
sfp_Comparable FY,Scenario,String,,False,,,
sfp_Comparable FY,Year,Integer,,False,,,
sfp_Comparable YTG,sfp_Comparable Amount,String,,False,,,
sfp_Comparable YTG,P&L Component,String,,False,,,
sfp_Comparable YTG,Scenario,String,,False,,,
sfp_Comparable YTG,Year,Integer,,False,,,
d_Customer,CustomerID,String,,False,,,
d_Customer,CustomerName,String,,False,,,
d_Customer,ContactName,String,,False,,,
d_Customer,Email,String,,False,,,
d_Customer,Phone,String,,False,,,
d_Customer,Address,String,,False,,,
d_Customer,CustomerGroup,String,,False,,,
d_Customer,CreditLimit,Integer,,False,,,
f_Aging_Customer,CustomerID,String,,False,,,
f_Aging_Customer,CustomerName,String,,False,,,
f_Aging_Customer,InvoiceNo,String,,False,,,
f_Aging_Customer,InvoiceDate,DateTime,,False,,,
f_Aging_Customer,DueDate,DateTime,,False,,,
f_Aging_Customer,InvoiceAmount,Double,,False,,,
f_Aging_Customer,31-60 Days,Double,,False,,,
f_Aging_Customer,61-90 Days,Double,,False,,,
f_Aging_Customer,>90 Days,Double,,False,,,
f_Aging_Customer,TotalOutstanding,Double,,False,,,
f_Aging_Customer,AmountPaid,Double,,False,,,
f_Aging_Customer,Invoice Currency,String,,False,,,
f_Aging_Customer,Current,Double,,False,,,
f_Aging_Customer,1-30 Days,Double,,False,,,
f_Aging_Customer,DaysOverdueColumn,Integer,,False,,,
d_Page Access Overview,Page Name,String,,False,,,
d_Page Access Overview,Client ID,Integer,,False,,,
d_Page Access Overview,Access,String,,False,,,
d_Page Access Overview,Client Source System,String,,False,,,
d_Page Access Overview,Source System Access,String,,False,,,
c_AccessPageFilter,Name,String,,False,,,
sfp_TC1_Reported Amount,sfp_Reported Amount,String,,False,,,
sfp_TC1_Reported Amount,P&L Component,String,,False,,,
sfp_TC1_Reported Amount,Scenario,String,,False,,,
sfp_TC1_Reported Amount,Year,Integer,,False,,,
sfp_TC1 Comparable,sfp_Comparable Amount,String,,False,,,
sfp_TC1 Comparable,P&L Component,String,,False,,,
sfp_TC1 Comparable,Scenario,String,,False,,,
sfp_TC1 Comparable,Year,Integer,,False,,,
sfp_Variance+FX 2,sfp_Variance+FX,String,,False,,,
sfp_Variance+FX 2,Currency Type,String,,False,,,
sfp_Variance+FX 2,Value5,String,,False,,,
sfp_Variance+FX 2,Component,String,,False,,,
sfp_TC2_Variance+FX,sfp_Variance+FX,String,,False,,,
sfp_TC2_Variance+FX,Currency Type,String,,False,,,
sfp_TC2_Variance+FX,Value5,String,,False,,,
sfp_TC2_Variance+FX,Component,String,,False,,,
sfp_TC2_Reported Amount,sfp_Reported Amount,String,,False,,,
sfp_TC2_Reported Amount,P&L Component,String,,False,,,
sfp_TC2_Reported Amount,Scenario,String,,False,,,
sfp_TC2_Reported Amount,Year,Integer,,False,,,
sfp_TC2 Comparable,sfp_Comparable Amount,String,,False,,,
sfp_TC2 Comparable,P&L Component,String,,False,,,
sfp_TC2 Comparable,Scenario,String,,False,,,
sfp_TC2 Comparable,Year,Integer,,False,,,
sfp_TC3 Comparable,sfp_Comparable Amount,String,,False,,,
sfp_TC3 Comparable,P&L Component,String,,False,,,
sfp_TC3 Comparable,Scenario,String,,False,,,
sfp_TC3 Comparable,Year,Integer,,False,,,
sfp_TC3_Reported Amount,sfp_Reported Amount,String,,False,,,
sfp_TC3_Reported Amount,P&L Component,String,,False,,,
sfp_TC3_Reported Amount,Scenario,String,,False,,,
sfp_TC3_Reported Amount,Year,Integer,,False,,,
sfp_TC3_Variance+FX,sfp_Variance+FX,String,,False,,,
sfp_TC3_Variance+FX,Currency Type,String,,False,,,
sfp_TC3_Variance+FX,Value5,String,,False,,,
sfp_TC3_Variance+FX,Component,String,,False,,,
c_Time Intelligence BS,Name,String,,False,,,
s_Scenario BS_Comparable,Comparable,String,,False,,,
sfp_BS_Reported,Parameter,String,,False,,,
sfp_BS_Reported,Value4,Integer,,False,,,
sfp_BS_Comparable,Parameter,String,,False,,,
sfp_BS_Comparable,Value4,Integer,,False,,,
sfp_BS_Comparable,Value5,String,,False,,,
d_Vendor,VendorID,String,,False,,,
d_Vendor,VendorName,String,,False,,,
d_Vendor,ContactName,String,,False,,,
d_Vendor,Email,String,,False,,,
d_Vendor,Phone,String,,False,,,
d_Vendor,Address,String,,False,,,
d_Vendor,VendorGroup,String,,False,,,
f_Aging_Vendor,VendorID,String,,False,,,
f_Aging_Vendor,VendorName,String,,False,,,
f_Aging_Vendor,BillNo,String,,False,,,
f_Aging_Vendor,BillDate,DateTime,,False,,,
f_Aging_Vendor,DueDate,DateTime,,False,,,
f_Aging_Vendor,BillAmount,Double,,False,,,
f_Aging_Vendor,AmountPaid,Double,,False,,,
f_Aging_Vendor,Current,Double,,False,,,
f_Aging_Vendor,1-30 Days,Double,,False,,,
f_Aging_Vendor,31-60 Days,Integer,,False,,,
f_Aging_Vendor,61-90 Days,Integer,,False,,,
f_Aging_Vendor,>90 Days,Integer,,False,,,
f_Aging_Vendor,TotalOutstanding,Double,,False,,,
f_Aging_Vendor,Invoice Currency,String,,False,,,
s_Formulas Cash Flow,Formula Header,String,,False,,,
s_Formulas Cash Flow,Formula Element,String,,False,,,
s_Formulas Cash Flow,Level.1,String,,False,,,
s_Formulas Cash Flow,Level.2,String,,False,,,
s_Formulas Cash Flow,Level.3,String,,False,,,
