sep=,
Table Name,Column Name,Data Type Column,Sample Row 1 Value,Sample Row 2 Value,Sample Row 3 Value
d_GL Account,GL Account Name,String,Raw materials Loom Indoor,Grondstoffen (Interim) Vestiging BASIS,Grondstoffen Vestiging BASIS
d_GL Account,GL Account Code,String,300100,300010,300000
d_GL Account,System,String,NAV,NAV,NAV
d_GL Account,GL Account ID,String,NAV|300100,NAV|300010,NAV|300000
d_GL Account,GL Account Full,String,300100|Raw materials Loom Indoor,300010|Grondstoffen (Interim) Vestiging BASIS,300000|Grondstoffen Vestiging BASIS
d_GL Account,GL Domain,String,61..64/72/74,61..64/72/74,61..64/72/74
d_GL Account,GL Factor,Integer,-1,-1,-1
d_GL Account,Value Ledger Relevant,String,NO,NO,NO
d_GL Account,Movement GL,String,9_CORRECTION,9_CORRECTION,9_CORRECTION
d_GL Account,Cost price used,String,BEKP MAT,NAV_STAT,NAV_STAT
d_GL Account,Default CC,String,BC|775,NAV|83,BC|775
d_GL Account,Default Ctry,String,BC|910,NAV|281,BC|910
d_GL Account,Aggregation detail,String,Full,Full,Full
d_GL Account,Initial / Reversal,String,Reversal,Reversal,Reversal
d_GL Account,Statutory / Secondary,String,STAT,STAT,STAT
d_GL Account,GL Account Type,String,B,B,B
z_Today,Today,DateTime,29/08/2025 00:00:00,,
z_Today,Now,DateTime,29/08/2025 16:50:13,,
z_Today,TodayPeriod,Integer,8,,
z_Today,TodayYear,Integer,2025,,
z_Today,TodayFlag,String,Yes,,
s_Scale,Scale,Integer,1000000,1000,1
s_Scale,Scale name,String,Millions,Thousands,None
dyn_RowLevel_1,dyn_RowLevel_1,String,Statutory P&L line,Managerial P&L line,Company Name
dyn_RowLevel_1,Use,String,BOTH,BOTH,BOTH
dyn_RowLevel_1,Value5,String,-,-,-
dyn_RowLevel_2,dyn_RowLevel_2,String,Statutory P&L line,Managerial P&L line,Company Name
dyn_RowLevel_2,Use,String,BOTH,BOTH,BOTH
dyn_RowLevel_2,Value5,String,-,-,-
dyn_RowLevel_3,dyn_RowLevel_3,String,Statutory P&L line,Managerial P&L line,Company Name
dyn_RowLevel_3,Use,String,BOTH,BOTH,BOTH
dyn_RowLevel_3,Value5,String,-,-,-
dfp_dyn_Column,dyn_Column,String,Statutory P&L line,Managerial P&L line,Company Name
dfp_dyn_Column,Use,String,BOTH,BOTH,BOTH
dfp_dyn_Column,Value5,String,-,-,-
d_BS_PL_CF,Line,String,Accruals assets,ASSETS,-
dyn_Filter_2,dyn_Filter_2,String,Statutory P&L line,Managerial P&L line,Company Name
dyn_Filter_2,Value4,String,BOTH,BOTH,BOTH
dyn_Filter_2,Scope,String,-,-,-
dyn_Filter_1,dyn_Filter_1,String,Statutory P&L line,Managerial P&L line,Company Name
dyn_Filter_1,Value4,String,BOTH,BOTH,BOTH
dyn_Filter_1,Scope,String,-,-,-
dyn_Filter_3,dyn_Filter_3,String,Statutory P&L line,Managerial P&L line,Company Name
dyn_Filter_3,Value4,String,BOTH,BOTH,BOTH
dyn_Filter_3,Scope,String,-,-,-
dyn_Filter_4,dyn_Filter_4,String,Statutory P&L line,Managerial P&L line,Company Name
dyn_Filter_4,Value4,String,BOTH,BOTH,BOTH
dyn_Filter_4,Scope,String,-,-,-
s_LevelSelection,Level,Integer,3,2,1
SelectedLevels,Value,Integer,4,3,2
SelectedLevels,Level,Integer,1,1,1
SelectedLevels,SelectedLevels,Integer,0,0,0
d_CostCenter,Cost Center Code,String,AC100,999YD,99
d_CostCenter,Dimension Code,String,COSTCENTER,COSTCENTER,COSTCENTER
d_CostCenter,Cost Center ID,String,BC|759,BC|758,BC|757
d_CostCenter,Cost Center Name,String,to be invoiced to VSI,year end closing,closing account N/A
d_CostCenter,System,String,BC,BC,BC
d_CostCenter,Cost Center Full,String,AC100|to be invoiced to VSI,999YD|year end closing,99|closing account N/A
d_CostCenter,CC DOMAIN,String,NON-OP,YEC,WOCC
d_CostCenter,CC Typology,String,NON-OP ICY,YEC,EXCL
d_CostCenter,CC PC,String,NON-OP,YEC,EXCL
d_CostCenter,Source,String,XLS,XLS,XLS
d_CostCenter,Work Center,String,-,-,-
d_Country,Country Code,String,AI,AG,AE
d_Country,Dimension Code,String,COUNTRY,COUNTRY,COUNTRY
d_Country,Country ID,String,BC|796,BC|795,BC|794
d_Country,Country Name,String,Anguilla,Antigua and Barbuda,United Arab Emirates
d_Country,System,String,BC,BC,BC
d_Country,Country Full,String,AI|Anguilla,AG|Antigua and Barbuda,AE|United Arab Emirates
d_Country,CTRY Countryflag,String,Yes,Yes,Yes
d_Country,CTRY Continent,String,NA,NA,AS
d_Country,CTRY DOMAIN,String,COM,COM,COM
d_Country,CTRY Typology,String,COM,COM,COM
d_Country,CTRY PC,String,ROW,ROW,ROW
d_Country,Source,String,XLS,XLS,XLS
d_Period,Year Nr,Integer,2023,2023,2023
d_Period,Month Nr,Integer,3,2,1
d_Period,Year Month Nr,Integer,202303,202302,202301
d_Period,Year Month Seqnr,Integer,24279,24278,24277
d_Period,Month (MMM),String,MAR,FEB,JAN
d_Period,Month Year (MMMYY),String,MAR 23,FEB 23,JAN 23
d_Period,Quarter (QQ),String,Q1,Q1,Q1
d_Period,Quarter Year (QQ YY),String,Q1 23,Q1 23,Q1 23
d_Period,Semester (SS),String,S1,S1,S1
d_Period,Semester Year (SS YY),String,S1 23,S1 23,S1 23
d_Period,Quarter Nr,Integer,1,1,1
d_Period,Semester Nr,Integer,1,1,1
d_Period,Year Quarter Nr,Integer,20231,20231,20231
d_Period,Year Semester Nr,Integer,20231,20231,20231
d_Period,Fiscal Year Nr,Integer,2022,2022,2022
d_Period,Fiscal Month Nr,Integer,9,8,7
d_Period,Fiscal Quarter Nr,Integer,3,3,3
d_Period,Fiscal Semester Nr,Integer,2,2,2
d_Period,Fiscal Year Month Nr,Integer,202209,202208,202207
d_Period,Fiscal Year Month Seqnr,Integer,24273,24272,24271
d_Period,Fiscal Year Quarter Nr,Integer,20223,20223,20223
d_Period,Fiscal Year Semester Nr,Integer,20222,20222,20222
d_Period,Date EOM,DateTime,31/03/2023 00:00:00,28/02/2023 00:00:00,31/01/2023 00:00:00
d_Period,End Date,String,31/03/2023,28/02/2023,31/01/2023
d_Period,Start Date,String,01/03/2023,01/02/2023,01/01/2023
d_Period,Year Quarter Seqnr,Integer,8093,8093,8093
d_Period,Year Semester Seqnr,String,4047,4047,4047
d_Period,Month Year (MMMYY) (inversed sort),String,MAR 23,FEB 23,JAN 23
d_Period,Fiscal Year Quarter Seqnr,Integer,8091,8091,8091
d_Period,PYYE YM Seqnr,String,24276,24276,24276
d_Period,MonthInitialYear,String,M23,F23,J23
s_Decimal2,Decimal,String,0.00,0.0,0
s_Decimal2,Nr,Integer,2,1,0
s_Decimalpct2,Decimal,String,0.00%,0.0%,0.%
s_Decimalpct2,Format,String,0.00%,0.0%,0.%
s_Decimalpct2,Nr,Integer,3,2,1
s_Scale2,Scale,String,M,K,None
s_Scale2,Nr,Integer,3,2,1
s_Scale2,Display,String,Bn,Mn,K
s_Format2,Line Format,String,Crcy,Crcy,Crcy
s_Format2,Decimal Pct,Integer,1,1,1
s_Format2,Scale,Integer,1,1,1
s_Format2,Decimal,Integer,2,1,0
s_Format2,Format,String,"#,##0.00","#,##0.0","#,##0."
d_Profit Center,PC code,String,P2_FR,P2_DE,P2_BELUX
d_Profit Center,PC Group,String,P2_FR,P2_DE,P2_BELUX
d_Profit Center,P&L Domain,String,Sales,Sales,Sales
d_Profit Center,PC Group Nr,Integer,3,2,1
d_Profit Center,System,String,BC,BC,BC
f_FINREP,System,String,BC,BC,BC
f_FINREP,GL Account ID,String,BC|600000,BC|600000,BC|600000
f_FINREP,Country ID,String,BC|910,BC|910,BC|910
f_FINREP,Cost Center ID,String,BC|775,BC|775,BC|775
f_FINREP,Posting Period Seqnr,Integer,24280,24280,24282
f_FINREP,P&L Domain,String,Buying,Buying,Buying
f_FINREP,PC code,String,P4_BUYING,P4_BUYING,P4_BUYING
f_FINREP,#Company Code,Integer,10000,10000,10000
f_FINREP,#AB Indicator ID,String,BUD,BUD,BUD
f_FINREP,Document No,String,2404PIB201,2404PIB201,2406PIB335
f_FINREP,Relation ID,String,BC|S0562,BC|S0562,BC|S0562
f_FINREP,GL Typology,String,60PUR | Purchases,60PUR | Purchases,60PUR | Purchases
f_FINREP,PC Typology,String,BUYING,BUYING,BUYING
f_FINREP,Item,String,GC113M007S023,DC0740W011P020,DC003P086
f_FINREP,Location Code,String,VSB,VSB,VSB
f_FINREP,Posting Date,DateTime,01/04/2023 00:00:00,01/04/2023 00:00:00,01/06/2023 00:00:00
f_FINREP,Scenario ID,String,BUD2023,BUD2023,BUD2023
f_FINREP,Dim 1 key,String,PRJ002,PRJ002,PRJ004
f_FINREP,Dim 2 key,String,DEP004,DEP004,DEP002
f_FINREP,Dim 3 key,String,LOC001,LOC001,LOC004
f_FINREP,Dim 4 key,String,EMP004,EMP004,EMP002
f_FINREP,Dim 5 key,String,CUST001,CUST001,CUST005
f_FINREP,Dim 6 key,String,PROD003,PROD003,PROD004
f_FINREP,Document Currency,String,USD,USD,USD
f_FINREP,Company Code  Currency,String,EUR,EUR,EUR
f_FINREP,Cash Flow Amount,Double,-568.1984,-568.1984,-232.7184
f_FINREP,CF Line,Unknown,,,
f_FINREP,Amount (company code currency),Double,-568.1984,-568.1984,-232.7184
f_FINREP,Amount (document currency),Double,-609.313236224,-609.313236224,-250.432924608
f_FINREP,BS_PL Slot,String,Report Line 4,Report Line 3,Report Line 4
f_FINREP,BS_PL Line,String,[P5_SCoS] Standard cost of sales (stat),[P5_SCoS] Standard cost of sales (stat),[P5_SCoS] Standard cost of sales (stat)
s_Period,Year Nr,Integer,2023,2023,2023
s_Period,Month Nr,Integer,3,2,1
s_Period,End Date,DateTime,31/03/2023 00:00:00,28/02/2023 00:00:00,31/01/2023 00:00:00
s_Period,Start Date,DateTime,01/03/2023 00:00:00,01/02/2023 00:00:00,01/01/2023 00:00:00
s_Period,Quarter Nr,Integer,1,1,1
s_Period,Semester Nr,Integer,1,1,1
s_Period,Year Month Nr (inversed),Integer,-202303,-202302,-202301
s_Period,Year Month Seqnr,Integer,24279,24278,24277
s_Period,Year Quarter Nr,Integer,20231,20231,20231
s_Period,Year Quarter Seqnr,Integer,8093,8093,8093
s_Period,Year Semester Nr,Integer,20231,20231,20231
s_Period,Year Semester Seqnr,Integer,4047,4047,4047
s_Period,Month (MMM),String,MAR,FEB,JAN
s_Period,Month Year (MMMYY),String,MAR 23,FEB 23,JAN 23
s_Period,Month Year (MMMYY) (inversed sort),String,MAR 23,FEB 23,JAN 23
s_Period,Quarter (QQ),String,Q1,Q1,Q1
s_Period,Quarter Year (QQ YY),String,Q1 23,Q1 23,Q1 23
s_Period,Semester (SS),String,S1,S1,S1
s_Period,Semester Year (SS YY),String,S1 23,S1 23,S1 23
s_Period,Year Month Nr,Integer,202303,202302,202301
s_Period,Fiscal Year Nr,Integer,2022,2022,2022
s_Period,Fiscal Month Nr,Integer,9,8,7
s_Period,Fiscal Quarter Nr,Integer,3,3,3
s_Period,Fiscal Semester Nr,Integer,2,2,2
s_Period,Fiscal Year Month Nr,Integer,202209,202208,202207
s_Period,Fiscal Year Month Seqnr,Integer,24273,24272,24271
s_Period,Fiscal Year Quarter Nr,Integer,20223,20223,20223
s_Period,Fiscal Year Semester Nr,Integer,20222,20222,20222
s_Period,PYYE YM Seqnr,Integer,24276,24276,24276
s_Period,Full Month,String,March,February,January
s_Period,Month Initial,String,M,F,J
dfp_Report_BS_PL_Levels 1,dfp_Report_BS_PL_Levels MAN,String,Level.4,Level.3,Level.2
dfp_Report_BS_PL_Levels 1,Level,String,4,3,2
d_System,System,String,BC,NAV,
d_Relation,Country Region,String,BE,BE,BE
d_Relation,Relation Name,String,COLRUYT FR. NV,ABRISO NV,BANK CARD COMPANY
d_Relation,Relation Code,String,S0025,S0017,S0009
d_Relation,Relation Type,String,0,0,0
d_Relation,System,String,NAV,NAV,NAV
d_Relation,Relation ID,String,NAV|S0025,NAV|S0017,NAV|S0009
d_Relation,Relation Full,String,S0025|COLRUYT FR. NV,S0017|ABRISO NV,S0009|BANK CARD COMPANY
d_Scenario,Version,String,ACTUAL,FLEX66,FLEX66
d_Scenario,VersionShort,String,ACT,F66,F66
d_Scenario,Year,Integer,2024,2025,2024
d_Scenario,Version ID,String,ACT2024,F662025,F662024
d_Scenario,VersionYear,String,ACTUAL 2024,FLEX66 2025,FLEX66 2024
d_Scenario,Filter,String,Scenario,Scenario,Scenario
d_Scenario,Exchange Rate Type,String,ACT01,F66,F66
d_Scenario,Display Label,String,ACT 2024,F66 2025,F66 2024
s_Scenario Comparable_Filter,Version,String,ACTUAL 2YA,ACTUAL PY,ACTUAL CY
s_Scenario Comparable_Filter,VersionShort,String,ACT,ACT,ACT
s_Scenario Comparable_Filter,Filter,String,Scenario,Scenario,Scenario
s_Scenario Comparable_Filter,Logic,String,2YA,PY,CY
s_Scenario Comparable_Filter,Exchange Rate Type,String,Y-2,Y-1,ACT01
s_Scenario Comparable_Filter,Label Display,String,ACT 2YA,ACT PY,ACT CY
s_Scenario Comparable_Filter,YearOffset,Integer,-2,-1,0
s_Scenario Comparable_Filter,Display Name Long,String,Actuals 2 Years Ago ,Last Year's Actuals,This Year's Actuals
s_Scenario Comparable_Filter,Display for concat title,String,Actuals 2 Years Ago ,Last Year's Actuals,This Year's Actuals
c_Time Intelligence P&L,Name,String,YTD,QTD,MTD
c_Time Intelligence_LxM & Other,Name,String,L3M,L12M,HTD
s_Switch_Calendar_Fiscal,Selection,String,Calendar,Fiscal,
s_TimeCalc,Selection,String,YTD,QTD,MTD
s_TimeCalc,SortID,Integer,3,2,1
s_TimeCalc2,Selection,String,YTD,QTD,MTD
s_TimeCalc2,SortID,Integer,3,2,1
s_TimeCalc3,Selection,String,YTD,QTD,MTD
s_TimeCalc3,SortID,Integer,3,2,1
d_Currency_From,From currency,String,RSD,RMB,CNY
d_Currency_Report,Order,Integer,-1,-2,-3
d_Currency_Report,To-currency,String,GBP,EUR,USD
d_Currency_Rates,Exchange Rate,Double,1.0,1.0,1.0
d_Currency_Rates,Valid from,DateTime,31/12/2025 00:00:00,31/12/2025 00:00:00,31/12/2025 00:00:00
d_Currency_Rates,To-currency,String,LC,LC,LC
d_Currency_Rates,From currency,String,UAH,RSD,ARS
d_Currency_Rates,Exchange Rate Type,String,ACT01,ACT01,ACT01
d_Currency_Rates,Currency sign,String,LC,LC,LC
s_Scenario Comparable2_Filter,Version,String,ACTUAL 2YA,ACTUAL PY,ACTUAL CY
s_Scenario Comparable2_Filter,VersionShort,String,ACT,ACT,ACT
s_Scenario Comparable2_Filter,Filter,String,Scenario,Scenario,Scenario
s_Scenario Comparable2_Filter,Logic,String,2YA,PY,CY
s_Scenario Comparable2_Filter,Exchange Rate Type,String,Y-2,Y-1,ACT01
s_Scenario Comparable2_Filter,Label Display,String,ACT 2YA,ACT PY,ACT CY
s_Scenario Comparable2_Filter,YearOffset,Integer,-2,-1,0
c_Monthly_vs_Cumulative,Name,String,Cumulative,Base,
Other_InfoColumns,ID,Integer,486,482,481
Other_InfoColumns,Name,String,Reporting Line,Company Name|Code,Company Code|Name
Other_InfoColumns,Table,String,s_ReportLines,d_Company,d_Company
Other_InfoColumns,DataType,String,Text,Text,Text
Other_InfoColumns,DataCategory,String,Regular,Regular,Regular
Other_InfoColumns,Description,String,,,
Other_InfoColumns,IsHidden,Boolean,False,False,False
Other_InfoColumns,IsUnique,Boolean,False,False,False
Other_InfoColumns,IsKey,Boolean,False,False,False
Other_InfoColumns,IsNullable,Boolean,True,True,True
Other_InfoColumns,Alignment,String,Default,Default,Default
Other_InfoColumns,SummarizeBy,String,None,None,None
Other_InfoColumns,ColumnStorage,String,,,
Other_InfoColumns,Type,String,Data,Data,Data
Other_InfoColumns,SourceColumn,String,Reporting Line,Company Name|Code,Company Code|Name
Other_InfoColumns,Expression,String,'f_FINREP'[Report Line 2],'f_FINREP'[Amount (company code currency)],"IF( SelectedLevels[Value] <= RELATED(s_LevelSelection[Level]) ,SelectedLevels[Value] , 0)"
Other_InfoColumns,FormatString,String,Long Date,Long Date,Long Date
Other_InfoColumns,IsAvailableInMDX,Boolean,True,True,True
Other_InfoColumns,SortByColumn,String,Month Nr,Year Month Seqnr,MonthSortnr
Other_InfoColumns,GroupingBehavior,String,GroupOnValue,GroupOnValue,GroupOnValue
Other_InfoColumns,SourceProviderType,String,,,
Other_InfoColumns,DisplayFolder,String,,,
Other_InfoColumns,AlternateOf,String,,,
Other_InfoColumns,LineageTag,String,d7438a86-5f58-4c3c-b40f-42c3a525e428,c498b5a8-6f9c-422c-9003-9b64086bef91,cc8a5e1a-3869-4f5d-9538-8d3b71b45c65
Other_InfoMeasures,TableID,Integer,1322,1320,1319
Other_InfoMeasures,TableName,String,BAL-AMT- Current Month,PL-AMT-TC1-Scenario,PL-AMT-TC0 Reported
Other_InfoMeasures,Table,String,m_Measures,m_Measures,m_Measures
Other_InfoMeasures,Desc,String,Returns the latest month (Perrigo Period logic) from the Dim_Date Filter table based on the current filter context.,Returns the latest year (Perrigo Period logic) from the Dim_Date Filter table based on the current filter context.,Returns the latest year and month (Perrigo Period logic) from the Dim_Date Filter table based on the current filter context.
Other_InfoMeasures,Expression,String,"


VAR vNominatorline = SELECTEDVALUE( s_ReportLines[Nominator element] )
VAR vNominator_element =
    CALCULATETABLE(
        VALUES('s_Formulas Combined'[Formula Element] ),
        's_Formulas Combined'[Formula Header] = vNominatorline
    )
VAR vDenominatorline = SELECTEDVALUE( s_ReportLines[Denominator] )
VAR vDenominator_element =
    CALCULATETABLE(
        VALUES('s_Formulas Combined'[Formula Element] ),
        's_Formulas Combined'[Formula Header] = vDenominatorline
    )
VAR vNominator = CALCULATE( [BAL-AMT- prep Current Month], TREATAS( vNominator_element, 'd_BS_PL_CF'[Line] ) )
VAR vDenominator =
    IF(
        ISBLANK( vDenominatorline ),
        1,
        CALCULATE( [BAL-AMT- prep Current Month], TREATAS( vDenominator_element, 'd_BS_PL_CF'[Line] ) )
    )
VAR vResult = DIVIDE( vNominator, vDenominator )


RETURN
vResult

","VAR datesel = SELECTEDVALUE( s_Switch_Calendar_Fiscal[Selection], ""Calendar"" )
VAR timecalc = SELECTEDVALUE( s_TimeCalc[Selection] )

-- Precompute once (both Calendar and Fiscal, cheap)
VAR LastYM_C = MAX( s_Period[Year Month Seqnr] )
VAR LastYM_F = MAX( s_Period[Fiscal Year Month Seqnr] )
VAR LastQ_C  = MAX( s_Period[Year Quarter Nr] )
VAR LastQ_F  = MAX( s_Period[Fiscal Year Quarter Nr] )
VAR MaxY_C   = MAX( s_Period[Year Nr] )
VAR MaxY_F   = MAX( s_Period[Fiscal Year Nr] )
VAR MaxM_C   = MAX( s_Period[Month Nr] )
VAR MaxM_F   = MAX( s_Period[Fiscal Month Nr] )

RETURN
SWITCH(
    TRUE(),
    
    ------------------------------------------------
    -- Calendar logic
    datesel = ""Calendar"",
        SWITCH(
            TRUE(),
            timecalc = ""MTD"", CALCULATE( [PL-AMT-TC0 Reported], d_Period[Year Month Seqnr] = LastYM_C ),
            timecalc = ""QTD"", CALCULATE( [PL-AMT-TC0 Reported], d_Period[Year Month Seqnr] <= LastYM_C && d_Period[Year Quarter Nr] = LastQ_C ),
            timecalc = ""YTD"", CALCULATE( [PL-AMT-TC0 Reported], d_Period[Year Nr] = MaxY_C && d_Period[Month Nr] <= MaxM_C ),
            timecalc = ""YTG"", CALCULATE( [PL-AMT-TC0 Reported], d_Period[Year Month Seqnr] > LastYM_C && d_Period[Year Nr] = MaxY_C ),
            timecalc = ""FY"",  CALCULATE( [PL-AMT-TC0 Reported], d_Period[Year Nr] = MaxY_C ),
            timecalc = ""Q1"",  CALCULATE( [PL-AMT-TC0 Reported], d_Period[Year Nr] = MaxY_C && d_Period[Quarter Nr] = 1 ),
            timecalc = ""Q2"",  CALCULATE( [PL-AMT-TC0 Reported], d_Period[Year Nr] = MaxY_C && d_Period[Quarter Nr] = 2 ),
            timecalc = ""Q3"",  CALCULATE( [PL-AMT-TC0 Reported], d_Period[Year Nr] = MaxY_C && d_Period[Quarter Nr] = 3 ),
            timecalc = ""Q4"",  CALCULATE( [PL-AMT-TC0 Reported], d_Period[Year Nr] = MaxY_C && d_Period[Quarter Nr] = 4 ),
            BLANK()
        ),

    ------------------------------------------------
    -- Fiscal logic
    datesel = ""Fiscal"",
        SWITCH(
            TRUE(),
            timecalc = ""MTD"", CALCULATE( [PL-AMT-TC0 Reported], d_Period[Fiscal Year Month Seqnr] = LastYM_F ),
            timecalc = ""QTD"", CALCULATE( [PL-AMT-TC0 Reported], d_Period[Fiscal Year Month Seqnr] <= LastYM_F && d_Period[Fiscal Year Quarter Nr] = LastQ_F ),
            timecalc = ""YTD"", CALCULATE( [PL-AMT-TC0 Reported], d_Period[Fiscal Year Nr] = MaxY_F && d_Period[Fiscal Month Nr] <= MaxM_F ),
            timecalc = ""YTG"", CALCULATE( [PL-AMT-TC0 Reported], d_Period[Fiscal Year Month Seqnr] > LastYM_F && d_Period[Fiscal Year Nr] = MaxY_F ),
            timecalc = ""FY"",  CALCULATE( [PL-AMT-TC0 Reported], d_Period[Fiscal Year Nr] = MaxY_F ),
            timecalc = ""Q1"",  CALCULATE( [PL-AMT-TC0 Reported], d_Period[Fiscal Year Nr] = MaxY_F && d_Period[Fiscal Quarter Nr] = 1 ),
            timecalc = ""Q2"",  CALCULATE( [PL-AMT-TC0 Reported], d_Period[Fiscal Year Nr] = MaxY_F && d_Period[Fiscal Quarter Nr] = 2 ),
            timecalc = ""Q3"",  CALCULATE( [PL-AMT-TC0 Reported], d_Period[Fiscal Year Nr] = MaxY_F && d_Period[Fiscal Quarter Nr] = 3 ),
            timecalc = ""Q4"",  CALCULATE( [PL-AMT-TC0 Reported], d_Period[Fiscal Year Nr] = MaxY_F && d_Period[Fiscal Quarter Nr] = 4 ),
            BLANK()
        ),

    BLANK()
)",[PL-AMT-BASE Scenario]
Other_InfoMeasures,FormatString,String,"VAR vLineformat = SELECTEDVALUE(s_ReportLines[Number Format])
VAR vScale =  SELECTEDVALUE(s_Scale2[Nr])
VAR vDecimal =  SELECTEDVALUE(s_Decimal2[Nr])
VAR vDecimalPct =  SELECTEDVALUE(s_Decimalpct2[Nr])
VAR vResult = CALCULATE(SELECTEDVALUE(s_Format2[Format]),
s_Format2[Line Format] = vLineformat,
s_Format2[Scale] = vScale, 
s_Format2[Decimal] = vDecimal,
s_Format2[Decimal Pct] = vDecimalPct)
RETURN
vResult","VAR vLineformat = SELECTEDVALUE(s_ReportLines[Number Format])
VAR vScale =  SELECTEDVALUE(s_Scale2[Nr])
VAR vDecimal =  SELECTEDVALUE(s_Decimal2[Nr])
VAR vDecimalPct =  SELECTEDVALUE(s_Decimalpct2[Nr])
VAR vResult = CALCULATE(SELECTEDVALUE(s_Format2[Format]),
s_Format2[Line Format] = vLineformat,
s_Format2[Scale] = vScale, 
s_Format2[Decimal] = vDecimal,
s_Format2[Decimal Pct] = vDecimalPct)
RETURN
vResult","VAR vLineformat = SELECTEDVALUE(s_ReportLines[Number Format])
VAR vScale =  SELECTEDVALUE(s_Scale2[Nr])
VAR vDecimal =  SELECTEDVALUE(s_Decimal2[Nr])
VAR vDecimalPct =  SELECTEDVALUE(s_Decimalpct2[Nr])
VAR vResult = CALCULATE(SELECTEDVALUE(s_Format2[Format]),
s_Format2[Line Format] = vLineformat,
s_Format2[Scale] = vScale, 
s_Format2[Decimal] = vDecimal,
s_Format2[Decimal Pct] = vDecimalPct)
RETURN
vResult"
Other_InfoMeasures,IsHidden,Boolean,False,False,False
Other_InfoMeasures,State,String,Valid,Valid,Valid
Other_InfoMeasures,KPIID,Integer,,,
Other_InfoMeasures,IsSimpleMeasure,Boolean,False,False,False
Other_InfoMeasures,DisplayFolder,String,Financial Model\1.3 Base measures Balance Sheet,Financial Model\1.2 Profit & Loss\1.2.2 s_time calc\TC1- Base Measures,Financial Model\1.2 Profit & Loss\1.2.1 P&L Base
Other_InfoMeasures,DetailRowsDefinition,String,,,
Other_InfoMeasures,DataCategory,String,,,
